Symptom,Follow_up_Question,Question_Type,Expected_Value,Clinical_Purpose
Cough,Cough worse at night?,Pattern,Yes,Supports triage decision
Fever,High or low?,Severity,High,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Guides follow-up questioning
Fever,Any chills present?,Associated Symptom,Yes,Refines differential diagnosis
Headache,How frequent?,Frequency,Frequent,Identifies symptom progression
Fatigue,Mild or severe tiredness?,Severity,Severe,Supports triage decision
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Identifies symptom progression
Cough,How long has cough persisted?,Duration,2,Guides follow-up questioning
Fever,Any chills present?,Associated Symptom,No,Identifies symptom progression
Fever,Any chills present?,Associated Symptom,No,Guides follow-up questioning
Headache,How frequent?,Frequency,Frequent,Improves clinical reasoning
Headache,How frequent?,Frequency,Occasional,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Moderate,Guides follow-up questioning
Fever,High or low?,Severity,Low,Identifies symptom progression
Fever,High or low?,Severity,Low,Supports triage decision
Fatigue,Since how many days fatigue?,Duration,7,Guides follow-up questioning
Headache,Sharp or dull pain?,Type,Dull,Supports triage decision
Fatigue,Mild or severe tiredness?,Severity,Moderate,Identifies symptom progression
Fever,Any chills present?,Associated Symptom,Yes,Improves clinical reasoning
Fatigue,Since how many days fatigue?,Duration,5,Guides follow-up questioning
Fatigue,Mild or severe tiredness?,Severity,Severe,Supports triage decision
Breathing Difficulty,Severity level?,Severity,Mild,Supports triage decision
Cough,How long has cough persisted?,Duration,5,Supports triage decision
Cough,Dry or wet?,Type,Wet,Supports triage decision
Fever,Since how many days?,Duration,1,Improves clinical reasoning
Headache,Sharp or dull pain?,Type,Sharp,Improves clinical reasoning
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Headache,How frequent?,Frequency,Frequent,Supports triage decision
Headache,How frequent?,Frequency,Frequent,Supports triage decision
Headache,Sharp or dull pain?,Type,Sharp,Guides follow-up questioning
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Guides follow-up questioning
Fatigue,Since how many days fatigue?,Duration,5,Improves clinical reasoning
Fever,Any chills present?,Associated Symptom,No,Identifies symptom progression
Fever,Since how many days?,Duration,10,Supports triage decision
Breathing Difficulty,Severity level?,Severity,Mild,Identifies symptom progression
Fatigue,Associated weakness?,Associated Symptom,No,Supports triage decision
Headache,How frequent?,Frequency,Occasional,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Moderate,Identifies symptom progression
Cough,How long has cough persisted?,Duration,14,Supports triage decision
Breathing Difficulty,Severity level?,Severity,Moderate,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Gradual,Supports triage decision
Headache,Sharp or dull pain?,Type,Sharp,Refines differential diagnosis
Fatigue,Mild or severe tiredness?,Severity,Severe,Improves clinical reasoning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Supports triage decision
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Improves clinical reasoning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Activity,Improves clinical reasoning
Fatigue,Since how many days fatigue?,Duration,3,Improves clinical reasoning
Fever,Any chills present?,Associated Symptom,Yes,Refines differential diagnosis
Cough,How long has cough persisted?,Duration,14,Refines differential diagnosis
Breathing Difficulty,Severity level?,Severity,Moderate,Identifies symptom progression
Fatigue,Since how many days fatigue?,Duration,7,Identifies symptom progression
Fever,High or low?,Severity,Low,Identifies symptom progression
Headache,Sharp or dull pain?,Type,Sharp,Identifies symptom progression
Fatigue,Since how many days fatigue?,Duration,14,Improves clinical reasoning
Fever,High or low?,Severity,High,Improves clinical reasoning
Cough,Dry or wet?,Type,Wet,Improves clinical reasoning
Headache,Pain severity?,Severity,Moderate,Refines differential diagnosis
Fever,Since how many days?,Duration,3,Supports triage decision
Fatigue,Since how many days fatigue?,Duration,7,Identifies symptom progression
Headache,Pain severity?,Severity,Moderate,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Gradual,Improves clinical reasoning
Cough,Dry or wet?,Type,Dry,Supports triage decision
Cough,Cough worse at night?,Pattern,No,Refines differential diagnosis
Cough,Dry or wet?,Type,Wet,Refines differential diagnosis
Fever,Since how many days?,Duration,5,Guides follow-up questioning
Fever,Since how many days?,Duration,14,Improves clinical reasoning
Headache,Sharp or dull pain?,Type,Sharp,Identifies symptom progression
Headache,Sharp or dull pain?,Type,Sharp,Improves clinical reasoning
Fatigue,Mild or severe tiredness?,Severity,Mild,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Mild,Supports triage decision
Headache,Sharp or dull pain?,Type,Sharp,Refines differential diagnosis
Fatigue,Since how many days fatigue?,Duration,14,Improves clinical reasoning
Headache,How frequent?,Frequency,Frequent,Supports triage decision
Headache,Sharp or dull pain?,Type,Dull,Guides follow-up questioning
Breathing Difficulty,Severity level?,Severity,Severe,Guides follow-up questioning
Fatigue,Since how many days fatigue?,Duration,14,Guides follow-up questioning
Cough,Dry or wet?,Type,Wet,Identifies symptom progression
Fatigue,Since how many days fatigue?,Duration,7,Supports triage decision
Fatigue,Mild or severe tiredness?,Severity,Mild,Guides follow-up questioning
Cough,How long has cough persisted?,Duration,7,Improves clinical reasoning
Headache,Sharp or dull pain?,Type,Dull,Improves clinical reasoning
Fatigue,Mild or severe tiredness?,Severity,Moderate,Identifies symptom progression
Headache,Sharp or dull pain?,Type,Sharp,Guides follow-up questioning
Fatigue,Mild or severe tiredness?,Severity,Moderate,Guides follow-up questioning
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Supports triage decision
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Identifies symptom progression
Fever,High or low?,Severity,Low,Guides follow-up questioning
Headache,Pain severity?,Severity,Severe,Identifies symptom progression
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Cough,Dry or wet?,Type,Dry,Supports triage decision
Fatigue,Mild or severe tiredness?,Severity,Severe,Improves clinical reasoning
Headache,How frequent?,Frequency,Frequent,Guides follow-up questioning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Activity,Refines differential diagnosis
Cough,Dry or wet?,Type,Dry,Supports triage decision
Fever,High or low?,Severity,High,Supports triage decision
Breathing Difficulty,Severity level?,Severity,Mild,Supports triage decision
Fever,Since how many days?,Duration,1,Improves clinical reasoning
Cough,How long has cough persisted?,Duration,14,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Gradual,Refines differential diagnosis
Fatigue,Mild or severe tiredness?,Severity,Mild,Refines differential diagnosis
Fatigue,Since how many days fatigue?,Duration,3,Guides follow-up questioning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Identifies symptom progression
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Supports triage decision
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Refines differential diagnosis
Cough,How long has cough persisted?,Duration,2,Guides follow-up questioning
Cough,How long has cough persisted?,Duration,14,Identifies symptom progression
Fatigue,Mild or severe tiredness?,Severity,Severe,Refines differential diagnosis
Headache,Pain severity?,Severity,Mild,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Moderate,Supports triage decision
Fatigue,Mild or severe tiredness?,Severity,Severe,Supports triage decision
Fever,Since how many days?,Duration,10,Improves clinical reasoning
Fatigue,Mild or severe tiredness?,Severity,Mild,Identifies symptom progression
Headache,Sharp or dull pain?,Type,Dull,Supports triage decision
Fever,Since how many days?,Duration,7,Improves clinical reasoning
Headache,Sharp or dull pain?,Type,Dull,Refines differential diagnosis
Cough,Dry or wet?,Type,Wet,Refines differential diagnosis
Headache,How frequent?,Frequency,Occasional,Refines differential diagnosis
Fatigue,Associated weakness?,Associated Symptom,Yes,Guides follow-up questioning
Fever,Since how many days?,Duration,5,Supports triage decision
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Cough,Dry or wet?,Type,Wet,Identifies symptom progression
Cough,How long has cough persisted?,Duration,2,Improves clinical reasoning
Breathing Difficulty,Severity level?,Severity,Moderate,Guides follow-up questioning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Guides follow-up questioning
Fatigue,Since how many days fatigue?,Duration,14,Identifies symptom progression
Headache,Pain severity?,Severity,Mild,Refines differential diagnosis
Headache,Sharp or dull pain?,Type,Dull,Identifies symptom progression
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Fever,Any chills present?,Associated Symptom,No,Supports triage decision
Fever,Any chills present?,Associated Symptom,No,Guides follow-up questioning
Cough,How long has cough persisted?,Duration,2,Guides follow-up questioning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Activity,Guides follow-up questioning
Cough,Cough worse at night?,Pattern,No,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Moderate,Refines differential diagnosis
Fever,Any chills present?,Associated Symptom,Yes,Refines differential diagnosis
Cough,Dry or wet?,Type,Dry,Supports triage decision
Fever,High or low?,Severity,Low,Refines differential diagnosis
Fever,Any chills present?,Associated Symptom,No,Improves clinical reasoning
Headache,Pain severity?,Severity,Severe,Guides follow-up questioning
Fatigue,Mild or severe tiredness?,Severity,Moderate,Supports triage decision
Headache,Pain severity?,Severity,Mild,Refines differential diagnosis
Cough,Cough worse at night?,Pattern,No,Refines differential diagnosis
Breathing Difficulty,Severity level?,Severity,Mild,Identifies symptom progression
Headache,Pain severity?,Severity,Moderate,Identifies symptom progression
Fever,Any chills present?,Associated Symptom,No,Guides follow-up questioning
Fever,Any chills present?,Associated Symptom,Yes,Identifies symptom progression
Fever,Since how many days?,Duration,7,Refines differential diagnosis
Fever,Any chills present?,Associated Symptom,Yes,Guides follow-up questioning
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Guides follow-up questioning
Cough,Cough worse at night?,Pattern,Yes,Guides follow-up questioning
Headache,How frequent?,Frequency,Occasional,Guides follow-up questioning
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Fever,Since how many days?,Duration,14,Supports triage decision
Headache,How frequent?,Frequency,Frequent,Supports triage decision
Headache,Pain severity?,Severity,Moderate,Identifies symptom progression
Fatigue,Associated weakness?,Associated Symptom,No,Identifies symptom progression
Breathing Difficulty,Severity level?,Severity,Moderate,Identifies symptom progression
Headache,Sharp or dull pain?,Type,Sharp,Improves clinical reasoning
Headache,Pain severity?,Severity,Moderate,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Gradual,Refines differential diagnosis
Fever,High or low?,Severity,Low,Guides follow-up questioning
Cough,How long has cough persisted?,Duration,2,Identifies symptom progression
Cough,Dry or wet?,Type,Wet,Refines differential diagnosis
Fatigue,Associated weakness?,Associated Symptom,Yes,Refines differential diagnosis
Fever,High or low?,Severity,High,Supports triage decision
Cough,How long has cough persisted?,Duration,7,Guides follow-up questioning
Cough,Dry or wet?,Type,Wet,Identifies symptom progression
Fever,Any chills present?,Associated Symptom,No,Guides follow-up questioning
Cough,Cough worse at night?,Pattern,Yes,Identifies symptom progression
Breathing Difficulty,Occurs during rest or activity?,Trigger,Activity,Guides follow-up questioning
Fever,Any chills present?,Associated Symptom,No,Refines differential diagnosis
Headache,How frequent?,Frequency,Occasional,Refines differential diagnosis
Fatigue,Since how many days fatigue?,Duration,14,Improves clinical reasoning
Fever,Since how many days?,Duration,10,Guides follow-up questioning
Fever,Any chills present?,Associated Symptom,No,Refines differential diagnosis
Fatigue,Associated weakness?,Associated Symptom,Yes,Identifies symptom progression
Headache,Pain severity?,Severity,Mild,Identifies symptom progression
Headache,Pain severity?,Severity,Mild,Supports triage decision
Fever,Any chills present?,Associated Symptom,No,Improves clinical reasoning
Headache,Pain severity?,Severity,Severe,Refines differential diagnosis
Cough,How long has cough persisted?,Duration,7,Improves clinical reasoning
Cough,Dry or wet?,Type,Wet,Refines differential diagnosis
Breathing Difficulty,Severity level?,Severity,Severe,Refines differential diagnosis
Headache,How frequent?,Frequency,Frequent,Refines differential diagnosis
Breathing Difficulty,Severity level?,Severity,Moderate,Supports triage decision
Cough,How long has cough persisted?,Duration,5,Improves clinical reasoning
Breathing Difficulty,Severity level?,Severity,Severe,Supports triage decision
Headache,Pain severity?,Severity,Severe,Guides follow-up questioning
Cough,Dry or wet?,Type,Dry,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Refines differential diagnosis
Breathing Difficulty,Sudden or gradual onset?,Onset,Gradual,Identifies symptom progression
Cough,How long has cough persisted?,Duration,7,Guides follow-up questioning
Fever,High or low?,Severity,Low,Identifies symptom progression
Headache,How frequent?,Frequency,Occasional,Improves clinical reasoning
Fever,Since how many days?,Duration,2,Identifies symptom progression
Cough,Cough worse at night?,Pattern,Yes,Refines differential diagnosis
Fever,Since how many days?,Duration,7,Supports triage decision
Fatigue,Mild or severe tiredness?,Severity,Moderate,Refines differential diagnosis
Fatigue,Since how many days fatigue?,Duration,14,Refines differential diagnosis
Fatigue,Mild or severe tiredness?,Severity,Severe,Guides follow-up questioning
Cough,Dry or wet?,Type,Wet,Guides follow-up questioning
Breathing Difficulty,Severity level?,Severity,Severe,Supports triage decision
Fever,High or low?,Severity,Low,Identifies symptom progression
Cough,Dry or wet?,Type,Wet,Supports triage decision
Headache,How frequent?,Frequency,Occasional,Improves clinical reasoning
Fever,Since how many days?,Duration,5,Identifies symptom progression
Fatigue,Mild or severe tiredness?,Severity,Mild,Identifies symptom progression
Breathing Difficulty,Occurs during rest or activity?,Trigger,Activity,Guides follow-up questioning
Fever,High or low?,Severity,High,Guides follow-up questioning
Headache,Sharp or dull pain?,Type,Sharp,Supports triage decision
Headache,How frequent?,Frequency,Occasional,Refines differential diagnosis
Cough,Cough worse at night?,Pattern,No,Identifies symptom progression
Breathing Difficulty,Sudden or gradual onset?,Onset,Sudden,Refines differential diagnosis
Fatigue,Associated weakness?,Associated Symptom,No,Identifies symptom progression
Fatigue,Mild or severe tiredness?,Severity,Severe,Identifies symptom progression
Fever,Any chills present?,Associated Symptom,No,Improves clinical reasoning
Fever,Any chills present?,Associated Symptom,No,Supports triage decision
Cough,How long has cough persisted?,Duration,14,Supports triage decision
Fever,Any chills present?,Associated Symptom,No,Guides follow-up questioning
Headache,Pain severity?,Severity,Severe,Supports triage decision
Breathing Difficulty,Occurs during rest or activity?,Trigger,Rest,Improves clinical reasoning
Fatigue,Associated weakness?,Associated Symptom,No,Improves clinical reasoning
Headache,Sharp or dull pain?,Type,Sharp,Supports triage decision
Headache,Pain severity?,Severity,Severe,Supports triage decision
